date,scored_count,portfolio_return,universe_median_return,ic,top_n_tickers,top_n_scores
2022-04-14,71,0.019638265904465265,0.02061984503874048,0.16910751093292037,"RXRX,NRIX,IOVA,KRYS,VRNT","0.6000,0.4500,0.4000,0.4000,0.4000"
2022-04-18,86,-0.00170076596543604,-0.0013050275946699386,0.010010571767077576,"COHR,CRNX,IMVT,INOD,PTGX","0.6000,0.5000,0.5000,0.4500,0.4000"
2022-04-19,87,-0.04635452830244508,-0.031231925968768004,-0.2322754377337789,"APLS,ARWR,CAMT,KYMR,TGTX","0.5000,0.5000,0.5000,0.5000,0.5000"
2022-04-20,87,-0.01270669700430754,-0.019193857965451144,-0.26462140739459583,"ALNY,CAMT,TGTX,PTGX,IOVA","0.5500,0.5000,0.5000,0.4000,0.4000"
2022-04-21,87,-0.0032971527544267774,0.019535874970400213,-0.33000524864541053,"ALNY,BELFB,ALKS,EDIT,IDYA","0.4000,0.3500,0.3500,0.3500,0.3500"
2022-04-22,87,-0.06465014157443648,-0.046715841236389166,-0.3832442798963469,"EDIT,RXRX,CRNX,CAMT,IDYA","0.5000,0.5000,0.5000,0.5000,0.5000"
2022-04-25,87,-0.0221814065388511,-0.006802721088435382,-0.25124465727697554,"IDYA,RXRX,PEGA,EDIT,ALKS","0.6500,0.6500,0.5000,0.5000,0.5000"
2022-04-26,87,0.0174751772805025,0.0394121576486306,-0.053860965656366,"VRNT,TGTX,TSHA,INVZ,CRNX","0.5000,0.4500,0.4500,0.3500,0.3500"
2022-04-27,87,-0.024961475262340806,-0.030701754385964897,-0.0680418621498239,"VRNT,TGTX,TSHA,CRNX,ALKS","0.6500,0.6000,0.6000,0.5000,0.5000"
2022-04-28,87,0.04657476539033358,0.038187159043222785,0.02764086764892225,"QRVO,TGTX,PEGA,EDIT,VRNT","0.6500,0.6000,0.5000,0.5000,0.5000"
2022-04-29,87,0.004445636074210084,0.004265640682502347,-0.08506557068601396,"TGTX,PEGA,ALNY,INOD,EDIT","0.6000,0.6000,0.4000,0.4000,0.3500"
2022-05-02,87,0.016997808061038972,0.04078549848942625,0.050006913503672826,"QRVO,SLAB,ATOM,ARWR,VOR","0.6500,0.6500,0.6500,0.6500,0.6500"
2022-05-03,87,-0.051492117712771825,-0.05044843049327341,0.22068942436334887,"ALKS,TSHA,COHU,QRVO,ALGM","0.8000,0.6000,0.5000,0.5000,0.5000"
2022-05-04,87,-0.02720291319588307,-0.023850085178875546,0.14751272331403933,"DIOD,MTSI,CRSP,UPST,PEGA","0.8500,0.7500,0.6500,0.6500,0.6500"
2022-05-05,87,-0.05102744145282509,-0.05546935608999226,0.036737504959504674,"ALGM,COHR,MPWR,ICHR,UPST","0.6000,0.5500,0.5500,0.5000,0.5000"
2022-05-06,87,0.0047093824280274935,0.013157894736842035,-0.150562388580979,"MPWR,SLAB,ICHR,BELFB,ATOM","0.7000,0.6500,0.6500,0.6000,0.6000"
2022-05-09,87,-0.0875527476539383,-0.06053986581369952,-0.08998834942183136,"ATOM,VSH,INVZ,BMEA,INOD","0.7500,0.5000,0.4500,0.4500,0.4000"
2022-05-10,87,0.01650280623278437,0.021929824561403466,0.038571427259331166,"ATOM,COHR,SLAB,AUPH,ONTO","0.7500,0.7500,0.7500,0.6000,0.5500"
2022-05-11,87,0.01628492706345843,0.0484795613160518,0.0804096830442782,"SLAB,COHR,LITE,BMEA,PEGA","0.6000,0.5500,0.5000,0.4500,0.4000"
2022-05-12,87,-0.010253824170376503,-0.015214548912397485,0.29254346537816545,"SLAB,BMEA,TGTX,FORM,PLXS","0.6500,0.6000,0.6000,0.5500,0.5000"
2022-05-13,87,0.055109409270284744,0.04881656804733714,0.0768477908939375,"AI,SITM,KLIC,ATOM,LITE","0.8000,0.7500,0.7500,0.7500,0.6500"
2022-05-16,87,-0.026241441821865538,-0.042476601871850206,0.22969452214777789,"BMEA,SLAB,ATOM,CRNX,COHU","0.6000,0.6000,0.6000,0.5000,0.5000"
2022-05-17,87,-0.005869832055538647,0.005992779783393631,0.07442539718235387,"RXRX,LSCC,AMKR,MTSI,DIOD","0.8000,0.7500,0.7500,0.7500,0.7500"
2022-05-18,87,0.0009993924583514304,0.0038040345821326316,-0.028343852415732344,"SLAB,CRUS,AI,AEHR,AMKR","0.6000,0.5500,0.5000,0.5000,0.4000"
2022-05-19,87,-0.0036671555706033316,-0.005117200396170252,0.07792600711705867,"SITM,AEHR,SLAB,MTSI,CRUS","0.7500,0.7500,0.7500,0.7500,0.7000"
2022-05-20,87,-0.024616477270751058,-0.03800232964472938,0.00507712241463059,"CRUS,LITE,MTSI,SITM,LSCC","0.7000,0.6500,0.6000,0.6000,0.5500"
2022-05-23,87,0.007959964580878205,0.017786899264580214,0.20221264099914826,"SITM,ALGM,RXRX,SLAB,PLXS","0.6000,0.5500,0.5000,0.5000,0.5000"
2022-05-24,87,0.026373893642993057,0.032742155525238736,-0.11078903601701606,"AI,ALKS,ATOM,SITM,FORM","0.5000,0.5000,0.4500,0.4000,0.4000"
2022-05-25,88,0.047763267224328436,0.042280495644271054,-0.0064918583828639095,"AI,FORM,CRUS,ALKS,SITM","0.6500,0.6000,0.5500,0.5500,0.5500"
2022-05-26,88,-0.009108272023520126,-0.011817032968142238,0.0750784139190481,"ICHR,AMKR,SITM,CRUS,LSCC","0.7500,0.7500,0.7500,0.7500,0.7500"
2022-05-27,88,0.013678096333090497,-0.015121552975326524,-0.02313442021531158,"LITE,AEHR,COHR,QMCO,POWI","0.8000,0.7500,0.7000,0.6500,0.6500"
2022-05-31,88,0.024593572912280755,0.034441853806193024,-0.10582755783059307,"NRIX,AEHR,POWI,ACMR,PATH","0.7500,0.6000,0.6000,0.5000,0.5000"
2022-06-01,88,-0.012957012384382426,-0.015981942300141494,-0.1891364213550127,"FORM,LITE,AUPH,AI,AMBA","0.6500,0.6500,0.6000,0.6000,0.6000"
2022-06-02,88,0.007407815202583526,-0.0026447165559390085,-0.14276703062934404,"LITE,BEAM,ACMR,UCTT,EDIT","0.7500,0.7500,0.6500,0.6500,0.6500"
2022-06-03,88,0.062112864320117395,0.019399674937349398,0.007670156153306589,"NRIX,IMVT,DNLI,ICHR,AMBA","0.7500,0.6500,0.6000,0.6000,0.6000"
2022-06-06,88,-0.012310655549189711,-0.017842346599941994,0.11076022197845702,"QRVO,ICHR,CAMT,ACMR,MKSI","0.7500,0.7500,0.7500,0.6500,0.6500"
2022-06-07,88,-0.036255981775656136,-0.02937133091538635,-0.11406117048210858,"BEAM,DNLI,UCTT,EDIT,SWKS","0.7500,0.7500,0.6500,0.6500,0.6500"
2022-06-08,88,-0.038404499131476345,-0.03250150902792359,-0.06269752258134308,"DAWN,ACMR,ALGM,ICHR,AXTI","0.7500,0.6500,0.6000,0.6000,0.6000"
2022-06-09,88,0.41780843858563543,-0.06386606799100303,-0.04393533274031995,"DAWN,VOR,NSIT,DIOD,DNLI","0.6000,0.6000,0.5500,0.5000,0.5000"
