date,scored_count,portfolio_return,universe_median_return,ic,top_n_tickers,top_n_scores
2025-03-06,651,-0.0073762553821854334,-0.019196744515215913,0.009509898477347789,"BJ,DVAX,LBRDA,FAST,FR,ACI,AMRX,HALO,MAN,WMK,JAZZ,BRO,VICI,ED,EVRG,SR,ADT,TRNO,MP,GGG,PTCT,ORLY,WBD,PRVA,AVA,CMS,MKC,PCH,EPR,WELL","1.0000,1.0000,0.9834,0.9312,0.8994,0.8864,0.8604,0.8591,0.8362,0.8333,0.8269,0.8243,0.8105,0.8050,0.8023,0.7997,0.7990,0.7975,0.7897,0.7895,0.7894,0.7861,0.7842,0.7825,0.7773,0.7748,0.7746,0.7692,0.7688,0.7680"
2025-03-07,653,-0.020095161647477745,-0.007881584006151576,-0.29476187622581473,"BJ,PARA,ADC,FAST,MSEX,AWK,EXPD,SJM,WEC,MKC,DTE,PTCT,ACI,GLPI,BRO,ADT,ATO,BGS,SR,AMRX,WMK,MAN,NWE,LNT,CMS,GIS,VICI,RGLD,CPB,AGCO","1.0000,1.0000,0.9681,0.9584,0.9333,0.9333,0.9333,0.9061,0.8986,0.8975,0.8974,0.8905,0.8879,0.8805,0.8735,0.8712,0.8646,0.8644,0.8621,0.8567,0.8529,0.8488,0.8463,0.8363,0.8263,0.8253,0.8226,0.8193,0.8158,0.8034"
2025-03-10,654,-0.013638466427384291,-0.0024027712330384476,-0.20289968444433817,"ADC,WEC,WMK,HALO,PTGX,AWK,MKC,LBRDA,LBRDK,MSEX,NSP,WTRG,DTE,ACI,GLPI,BJ,PCAR,FYBR,BECN,AEP,FAST,AVA,PRVA,NSA,RGLD,EPR,BRO,PTCT,NWE,EXEL","0.9862,0.9660,0.9561,0.9395,0.9333,0.9002,0.8994,0.8970,0.8955,0.8879,0.8859,0.8809,0.8794,0.8676,0.8645,0.8635,0.8634,0.8615,0.8514,0.8430,0.8351,0.8326,0.8266,0.8264,0.8247,0.8154,0.8117,0.8112,0.8102,0.8099"
2025-03-11,655,-0.0038346959227258948,-0.014700386196586424,-0.13945251212023185,"PTGX,GLPI,ITCI,NWE,DUK,NJR,BECN,FYBR,EPR,ADC,ROL,CMS,IDA,AVA,GL,FAST,BRO,VICI,MKC,WEC,LBRDA,BNL,WMK,MLI,DVAX,SO,WPC,TRNO,CNP,EXEL","0.9333,0.9090,0.8960,0.8862,0.8784,0.8736,0.8735,0.8726,0.8579,0.8545,0.8496,0.8447,0.8353,0.8317,0.8282,0.8274,0.8264,0.8247,0.8208,0.8140,0.8138,0.8071,0.8070,0.8043,0.8028,0.8007,0.7981,0.7942,0.7936,0.7823"
2025-03-12,656,0.013506896174957624,0.021559790923862177,-0.21612309783178457,"RYAN,ITCI,BRO,VICI,PTGX,AVA,BECN,OGE,DOMO,HALO,AMRX,DUK,ROL,EPR,FYBR,BJ,SR,MKC,EVRG,BNL,NWE,CINF,PTCT,NJR,AMED,NFG,PPC,DASH,NSP,DVAX","0.8917,0.8435,0.8345,0.8316,0.8298,0.8282,0.8276,0.8264,0.8238,0.8229,0.8200,0.8184,0.8179,0.8154,0.8133,0.8126,0.8120,0.8116,0.8083,0.8061,0.8057,0.8039,0.7972,0.7901,0.7827,0.7810,0.7782,0.7761,0.7756,0.7741"
2025-03-13,656,0.006346962555969068,0.012919678612865027,-0.11641940254229355,"ADC,DUK,AVA,BECN,RGLD,AMRX,CINF,DRVN,BRO,SR,MAA,NFG,NWE,PAA,DOMO,BJ,DTE,PNW,ITCI,NJR,FYBR,IDA,CNP,PARA,VICI,BXMT,PTCT,PTGX,WPC,EPR","0.8984,0.8898,0.8615,0.8470,0.8460,0.8430,0.8362,0.8337,0.8314,0.8292,0.8280,0.8130,0.8058,0.8028,0.8019,0.7950,0.7899,0.7819,0.7778,0.7768,0.7739,0.7667,0.7633,0.7631,0.7616,0.7595,0.7550,0.7532,0.7517,0.7516"
2025-03-14,657,-0.002871545589758055,-0.005063471687348553,-0.2368230257320842,"MP,CNP,DUK,AMRX,UGI,ADC,SR,AEP,NWE,BRO,AVA,PNW,GL,CINF,PTCT,XEL,MPLX,MAA,HES,EXC,IRT,POR,OGS,FYBR,OGE,ED,RYAN,SUN,BJ,DVAX","1.0000,0.9000,0.9000,0.8975,0.8858,0.8842,0.8813,0.8807,0.8656,0.8493,0.8444,0.8400,0.8385,0.8354,0.8335,0.8191,0.8170,0.8167,0.8167,0.8123,0.8106,0.8086,0.8066,0.8049,0.8013,0.8007,0.7997,0.7969,0.7966,0.7935"
2025-03-17,656,0.004828849509038272,0.009258913881248443,-0.29879196496660143,"DUK,ADC,DTE,AEP,OGE,AEE,HES,EVRG,MP,LNT,HALO,CNO,WMK,BRO,HIG,CNP,NFG,ORLY,BXMT,NWE,WEC,X,AVA,ATO,BECN,PTCT,MPLX,ED,EXC,RYAN","1.0000,0.9864,0.9000,0.8953,0.8862,0.8836,0.8750,0.8731,0.8685,0.8664,0.8646,0.8613,0.8599,0.8553,0.8529,0.8500,0.8473,0.8392,0.8390,0.8383,0.8343,0.8331,0.8329,0.8284,0.8273,0.8239,0.8165,0.8134,0.8070,0.8066"
2025-03-18,655,0.01565199024270911,-0.005816207832493259,-0.055615828463768224,"TME,MP,BECN,ADC,RGLD,AVA,DTE,CNO,NFG,CINF,NJR,PNW,X,DUK,HIG,NWE,BXMT,WEC,SR,WPC,PRA,WMK,BRO,ROL,HALO,UGI,AMRX,MPLX,RYAN,CTRA","0.9333,0.8942,0.8925,0.8803,0.8708,0.8697,0.8669,0.8500,0.8488,0.8475,0.8393,0.8375,0.8333,0.8331,0.8284,0.8222,0.8201,0.8171,0.8152,0.8088,0.8083,0.8058,0.8047,0.8043,0.8030,0.7982,0.7934,0.7933,0.7898,0.7896"
2025-03-19,653,-0.007200319253151148,-0.0050951683748170495,0.031859362755858135,"HES,DTE,X,JAZZ,PNW,NJR,RGLD,NFG,CNO,UGI,ETR,ADT,ADC,BXMT,ROL,DUK,HALO,CMS,AEE,PRA,HIG,OGE,WMK,NWE,BECN,GL,TME,PAGS,CNP,WELL","1.0000,0.9000,0.8998,0.8985,0.8947,0.8820,0.8794,0.8721,0.8592,0.8472,0.8345,0.8339,0.8322,0.8252,0.8235,0.8172,0.8167,0.8146,0.8142,0.8115,0.8115,0.8109,0.8085,0.8061,0.8056,0.8033,0.7983,0.7982,0.7916,0.7878"
