asof,ticker,position,n_briefs_logged,n_scored_logged,n_names_recovered,recovery_status,source_run_utc,source_pid
2026-05-28,AMPL,1,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,BRZE,2,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,CXM,3,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,EXPO,4,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,NEOG,5,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,MRCY,6,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,BAH,7,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,WEX,8,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,MUSA,9,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,WK,10,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,MMS,11,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,TTEK,12,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,GPRE,13,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,DAR,14,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,AMRC,15,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,ENPH,16,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-28,RUN,17,18,26,17,partial,2026-05-29T07:11:43Z,1284331
2026-05-31,SONO,1,16,19,16,exact,2026-06-01T12:55:41Z,1808731
2026-05-31,DLB,2,16,19,16,exact,2026-06-01T12:55:41Z,1808731
2026-05-31,BAH,3,16,19,16,exact,2026-06-01T12:55:41Z,1808731
2026-05-31,MRCY,4,16,19,16,exact,2026-06-01T12:55:41Z,1808731
2026-05-31,ETSY,5,16,19,16,exact,2026-06-01T12:55:41Z,1808731
2026-05-31,CHWY,6,16,19,16,exact,2026-06-01T12:55:41Z,1808731
2026-05-31,W,7,16,19,16,exact,2026-06-01T12:55:41Z,1808731
2026-05-31,PKE,8,16,19,16,exact,2026-06-01T12:55:41Z,1808731
2026-05-31,OSIS,9,16,19,16,exact,2026-06-01T12:55:41Z,1808731
2026-05-31,PSN,10,16,19,16,exact,2026-06-01T12:55:41Z,1808731
2026-05-31,LUNR,11,16,19,16,exact,2026-06-01T12:55:41Z,1808731
2026-05-31,RDW,12,16,19,16,exact,2026-06-01T12:55:41Z,1808731
